tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2005-410,Monte Carlo Masters,Clay,64,M,20050411,13,104745,11,,Rafael Nadal,L,185,ESP,18.85557837,104792,,WC,Gael Monfils,R,193,FRA,18.6091718,6-3 6-2,3,R64,84,0,0,55,38,24,9,9,4,6,1,0,52,27,15,8,8,3,8,17,1340,106,406
2005-410,Monte Carlo Masters,Clay,64,M,20050411,39,104745,11,,Rafael Nadal,L,185,ESP,18.85557837,103598,,,Xavier Malisse,R,185,BEL,24.72826831,6-0 6-3,3,R32,62,0,0,43,28,22,12,8,1,1,1,2,36,20,11,6,7,0,4,17,1340,38,933
2005-410,Monte Carlo Masters,Clay,64,M,20050411,52,104745,11,,Rafael Nadal,L,185,ESP,18.85557837,103694,,,Olivier Rochus,R,168,BEL,24.22724162,6-1 6-2,3,R16,64,0,1,38,28,22,6,7,2,3,0,2,49,25,10,10,8,3,9,17,1340,42,921
2005-410,Monte Carlo Masters,Clay,64,M,20050411,58,104745,11,,Rafael Nadal,L,185,ESP,18.85557837,103292,4,,Gaston Gaudio,R,175,ARG,26.33812457,6-3 6-0,3,QF,62,2,1,40,34,28,4,8,0,0,1,4,42,26,13,6,7,1,5,17,1340,6,2220
2005-410,Monte Carlo Masters,Clay,64,M,20050411,61,104745,11,,Rafael Nadal,L,185,ESP,18.85557837,104755,,Q,Richard Gasquet,R,185,FRA,18.81451061,6-7(6) 6-4 6-3,3,SF,165,2,3,112,79,44,16,16,9,14,2,1,115,57,31,27,15,5,12,17,1340,101,420
2005-410,Monte Carlo Masters,Clay,64,M,20050411,63,104745,11,,Rafael Nadal,L,185,ESP,18.85557837,103909,6,,Guillermo Coria,R,175,ARG,23.24161533,6-3 6-1 0-6 7-5,5,F,189,3,0,120,89,52,17,17,11,16,1,3,110,65,40,17,17,13,20,17,1340,9,2045
2005-416,Rome Masters,Clay,64,M,20050502,25,104745,5,,Rafael Nadal,L,185,ESP,18.91307324,104022,,,Mikhail Youzhny,R,183,RUS,22.85284052,6-0 6-2,3,R64,60,1,2,41,24,19,10,7,1,2,1,1,40,28,12,3,7,3,9,7,2100,26,1185
2005-416,Rome Masters,Clay,64,M,20050502,45,104745,5,,Rafael Nadal,L,185,ESP,18.91307324,103812,,Q,Victor Hanescu,R,198,ROU,23.78097194,6-1 6-1,3,R32,63,0,2,42,25,19,10,7,1,1,0,2,44,29,14,4,7,2,7,7,2100,85,465
2005-416,Rome Masters,Clay,64,M,20050502,55,104745,5,,Rafael Nadal,L,185,ESP,18.91307324,103084,11,,Guillermo Canas,R,185,ARG,27.43326489,6-3 6-1,3,R16,84,1,1,45,36,28,5,8,0,0,1,0,51,31,14,11,8,5,9,7,2100,13,1675
2005-416,Rome Masters,Clay,64,M,20050502,60,104745,5,,Rafael Nadal,L,185,ESP,18.91307324,103285,15,,Radek Stepanek,R,185,CZE,26.42847365,5-7 6-1 6-1,3,QF,129,0,0,78,58,42,10,13,2,4,2,3,82,51,30,13,13,5,11,7,2100,17,1330
